id;first_name;last_name;full_name;jhi_user_id;address;mobile_no;designation;photo;photo_content_type;created_by
1;Lola;Rodriguez;Investment Account back-end;75660;repurpose modular;Concrete system;STORE_MANAGER;../fake-data/blob/hipster.png;image/png;leading-edge
2;Lucio;Jenkins;Handmade silver;83938;Home;bandwidth-monitored Sleek;SALES_ASSOCIATE;../fake-data/blob/hipster.png;image/png;Berkshire Isle
3;Otilia;Hintz;Unbranded Granite Bacon;54645;National;Games Singapore;CASHIER;../fake-data/blob/hipster.png;image/png;Concrete
4;Marcelina;Williamson;alarm;53478;frictionless Factors;deposit Decentralized Home Loan Account;CASHIER;../fake-data/blob/hipster.png;image/png;Norfolk Island Kiribati lavender
5;Bradley;Grant;Sleek;63673;Infrastructure Automated;Electronics;ALL_IN_ONE;../fake-data/blob/hipster.png;image/png;white
6;Hope;Turcotte;Shoes purple white;79413;Sleek Concrete Table quantify Kids;Small National;CASHIER;../fake-data/blob/hipster.png;image/png;reinvent Baby
7;Cedrick;Muller;Chad upward-trending Personal Loan Account;11695;Crest Practical Wooden Towels Hungary;Pataca;CASHIER;../fake-data/blob/hipster.png;image/png;redundant
8;Gino;Gislason;North Carolina Burundi Franc;25606;deposit;Upgradable partnerships;INVENTORY_CONTROL_SPECIALIST;../fake-data/blob/hipster.png;image/png;customized
9;Albertha;Block;adapter systems International;69290;Handmade Steel Chair Music;Games Finland Table;CASHIER;../fake-data/blob/hipster.png;image/png;4th generation Salad
10;Joyce;Rath;Administrator green overriding;9368;Ergonomic Cotton Soap;withdrawal;ALL_IN_ONE;../fake-data/blob/hipster.png;image/png;back-end reboot Switzerland
